Gender,IsSenior,Married,Dependents,ClientMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,Churn
female,0,yes,no,1,no,dsl,no,no,no,month-to-month,electronic check,29.85,29.85,no
male,0,no,no,34,yes,dsl,yes,no,no,one year,mailed check,56.95,1889.5,no
male,0,no,no,2,yes,dsl,yes,no,no,month-to-month,mailed check,53.85,108.15,yes
male,0,no,no,45,no,dsl,yes,yes,no,one year,bank transfer (automatic),71.45,1840.75,no
female,0,no,no,52,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,1022.95,no
male,0,no,yes,71,yes,fiber optic,yes,no,yes,two year,bank transfer (automatic),71.45,7382.25,no
female,0,yes,yes,10,yes,dsl,no,yes,no,month-to-month,credit card (automatic),71.45,528.35,yes
female,0,no,no,21,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1862.9,no
male,1,no,no,1,no,dsl,no,no,no,month-to-month,electronic check,71.45,39.65,yes
male,0,yes,no,12,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,202.25,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.15,yes
female,0,yes,no,58,yes,dsl,no,yes,no,two year,credit card (automatic),71.45,3505.1,no
male,0,yes,yes,49,yes,dsl,yes,yes,no,month-to-month,credit card (automatic),71.45,2970.3,no
female,0,no,no,30,yes,dsl,yes,no,no,month-to-month,bank transfer (automatic),71.45,1530.6,no
male,0,yes,yes,47,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,4749.15,yes
male,0,yes,yes,1,no,dsl,no,no,no,month-to-month,electronic check,71.45,30.2,yes
male,0,yes,no,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,6369.45,no
female,0,no,yes,17,yes,dsl,no,no,yes,month-to-month,mailed check,71.45,1093.1,yes
female,1,yes,no,71,yes,fiber optic,yes,yes,no,two year,credit card (automatic),71.45,6766.95,no
male,1,yes,no,2,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),71.45,181.65,no
female,0,yes,yes,27,yes,dsl,yes,yes,no,one year,mailed check,71.45,1874.45,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),71.45,20.2,no
male,1,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.45,45.25,no
female,0,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),71.45,7251.7,no
male,0,no,no,5,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,316.9,yes
female,0,no,no,46,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),71.45,3548.3,no
male,0,no,no,34,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,3549.25,yes
female,0,no,no,11,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),71.45,1105.4,yes
male,0,yes,yes,10,yes,dsl,no,no,no,one year,mailed check,71.45,475.7,no
female,0,yes,yes,70,yes,dsl,yes,no,yes,two year,credit card (automatic),71.45,4872.35,no
female,0,yes,yes,17,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,418.25,no
female,0,no,no,63,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,4861.45,no
female,0,yes,no,13,yes,dsl,yes,yes,yes,month-to-month,electronic check,71.45,981.45,no
female,0,no,no,49,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,3906.7,no
male,0,no,no,2,yes,dsl,no,no,no,month-to-month,mailed check,71.45,97.0,no
female,0,no,no,2,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,144.15,yes
male,0,no,no,52,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,4217.8,no
female,0,yes,yes,69,yes,dsl,yes,yes,no,two year,credit card (automatic),71.45,4254.1,no
female,1,no,no,43,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,3838.75,no
female,0,no,no,15,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),71.45,1426.4,yes
female,1,yes,no,25,yes,dsl,yes,yes,yes,month-to-month,credit card (automatic),71.45,1752.65,no
female,1,yes,no,8,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),71.45,633.3,yes
female,1,yes,yes,60,yes,dsl,yes,yes,no,one year,credit card (automatic),71.45,4456.35,no
male,1,no,no,18,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,1752.55,yes
female,0,yes,yes,63,yes,fiber optic,yes,no,yes,one year,credit card (automatic),71.45,6311.2,no
male,1,yes,yes,66,yes,fiber optic,no,yes,yes,one year,electronic check,71.45,7076.35,no
female,0,yes,yes,34,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,894.3,no
female,0,no,no,72,yes,fiber optic,no,yes,yes,two year,credit card (automatic),71.45,7853.7,no
female,0,yes,no,47,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,4707.1,no
male,0,no,no,60,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),71.45,5450.7,no
male,0,yes,no,72,no,dsl,yes,no,no,two year,bank transfer (automatic),71.45,2962.0,no
female,0,yes,yes,18,yes,dsl,no,yes,no,one year,credit card (automatic),71.45,957.1,no
female,0,no,no,9,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,857.25,yes
female,0,no,no,3,yes,dsl,no,yes,yes,month-to-month,electronic check,71.45,244.1,no
male,0,yes,no,47,yes,fiber optic,no,no,no,one year,electronic check,71.45,3650.35,no
female,0,no,no,31,yes,dsl,no,yes,yes,two year,mailed check,71.45,2497.2,no
female,0,yes,yes,50,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,930.9,no
male,0,no,no,10,yes,fiber optic,yes,no,no,month-to-month,mailed check,71.45,887.35,no
male,0,no,no,1,yes,dsl,no,yes,no,month-to-month,mailed check,71.45,49.05,no
female,0,yes,yes,52,yes,no,no internet service,no internet service,no internet service,one year,electronic check,71.45,1090.65,no
male,1,yes,yes,64,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),71.45,7099.0,no
male,0,yes,yes,62,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1424.6,no
female,0,no,yes,3,yes,dsl,yes,yes,no,month-to-month,bank transfer (automatic),71.45,177.4,no
female,1,no,no,56,yes,fiber optic,yes,no,yes,one year,electronic check,71.45,6139.5,no
female,0,no,no,46,yes,dsl,no,no,no,one year,credit card (automatic),71.45,2688.85,no
female,0,yes,yes,8,yes,dsl,yes,no,no,month-to-month,mailed check,71.45,482.25,no
male,1,no,no,30,yes,dsl,yes,no,yes,month-to-month,electronic check,71.45,2111.3,no
female,0,yes,yes,45,yes,no,no internet service,no internet service,no internet service,one year,credit card (automatic),71.45,1216.6,no
female,0,no,yes,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,79.35,yes
female,0,yes,yes,11,no,dsl,yes,no,yes,month-to-month,electronic check,71.45,565.35,no
female,0,yes,no,7,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,496.9,yes
female,0,no,no,42,yes,fiber optic,no,yes,yes,month-to-month,bank transfer (automatic),71.45,4327.5,no
female,0,yes,no,49,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,973.35,no
male,0,no,no,9,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),71.45,918.75,no
female,0,yes,no,35,yes,dsl,yes,no,yes,one year,bank transfer (automatic),71.45,2215.45,no
female,0,yes,yes,48,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1057.0,no
female,0,yes,yes,46,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,927.1,no
male,0,yes,no,29,no,dsl,no,no,yes,month-to-month,mailed check,71.45,1009.25,no
male,0,yes,yes,30,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,2570.2,no
male,1,no,no,1,yes,fiber optic,no,yes,no,month-to-month,electronic check,71.45,74.7,no
male,0,yes,yes,66,yes,dsl,yes,yes,yes,two year,mailed check,71.45,5714.25,no
female,0,no,no,65,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),71.45,7107.0,no
male,0,no,no,72,yes,fiber optic,no,no,yes,two year,bank transfer (automatic),71.45,7459.05,no
female,0,no,no,12,yes,fiber optic,yes,no,no,month-to-month,electronic check,71.45,927.35,yes
male,0,yes,yes,71,yes,dsl,yes,yes,no,one year,credit card (automatic),71.45,4748.7,no
male,0,no,no,5,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,113.85,yes
male,0,no,no,52,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1107.2,no
female,1,yes,no,25,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,2514.5,yes
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,20.2,no
female,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,71.45,19.45,no
male,0,no,no,38,yes,fiber optic,no,yes,yes,one year,bank transfer (automatic),71.45,3605.6,no
female,1,yes,no,66,no,dsl,no,no,yes,one year,bank transfer (automatic),71.45,3027.25,no
male,0,yes,no,68,yes,fiber optic,no,yes,yes,two year,bank transfer (automatic),71.45,7611.85,yes
male,0,no,no,5,no,dsl,no,no,no,month-to-month,mailed check,71.45,100.2,no
female,0,yes,yes,72,yes,fiber optic,yes,no,yes,one year,electronic check,71.45,7303.05,no
female,0,no,no,32,no,dsl,yes,no,no,one year,mailed check,71.45,927.65,no
male,0,no,no,43,yes,fiber optic,no,no,yes,one year,mailed check,71.45,3921.3,no
male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1363.25,no
male,0,yes,no,55,yes,fiber optic,yes,no,yes,month-to-month,electronic check,71.45,5238.9,yes
female,0,no,no,52,yes,dsl,yes,yes,no,one year,credit card (automatic),71.45,3042.25,no
female,0,no,no,43,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,3954.1,no
female,1,yes,no,37,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,2868.15,yes
female,0,yes,yes,64,no,dsl,no,yes,yes,two year,electronic check,71.45,3423.5,no
male,0,yes,yes,3,yes,fiber optic,yes,no,yes,month-to-month,electronic check,71.45,248.4,no
female,0,no,no,36,no,dsl,yes,no,no,two year,bank transfer (automatic),71.45,1126.35,no
female,0,yes,yes,10,yes,fiber optic,yes,no,yes,month-to-month,electronic check,71.45,1064.65,yes
female,0,no,no,41,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,835.15,no
male,0,yes,yes,27,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),71.45,2151.6,no
female,0,yes,yes,56,yes,fiber optic,no,no,yes,one year,credit card (automatic),71.45,5515.45,no
female,0,no,no,6,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,112.75,no
male,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,229.55,yes
female,0,yes,yes,7,yes,dsl,yes,no,no,month-to-month,mailed check,71.45,350.35,no
female,0,yes,yes,4,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,62.9,no
male,0,no,no,33,yes,fiber optic,yes,yes,yes,two year,electronic check,71.45,3027.65,no
female,1,no,no,27,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,2135.5,yes
male,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1723.95,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,19.75,no
male,1,no,no,71,no,dsl,yes,no,yes,one year,electronic check,71.45,3985.35,no
female,0,no,no,13,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1215.65,no
female,0,yes,yes,25,no,dsl,yes,no,yes,month-to-month,credit card (automatic),71.45,1502.65,yes
male,0,no,no,67,yes,dsl,no,yes,no,two year,bank transfer (automatic),71.45,3260.1,no
male,0,no,no,1,no,dsl,no,no,no,month-to-month,electronic check,71.45,35.45,yes
male,0,no,no,2,yes,dsl,no,no,no,month-to-month,electronic check,71.45,81.25,yes
female,0,no,no,43,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),71.45,1188.2,no
female,0,no,no,23,yes,fiber optic,yes,no,no,month-to-month,bank transfer (automatic),71.45,1778.5,no
female,0,yes,yes,64,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,1277.75,no
male,0,no,yes,57,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,1170.55,no
female,1,yes,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,71.45,70.45,yes
female,1,yes,yes,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,6425.65,no
female,0,no,no,8,yes,dsl,yes,yes,no,month-to-month,electronic check,71.45,563.65,yes
female,0,yes,no,61,yes,fiber optic,no,no,yes,two year,bank transfer (automatic),71.45,5971.25,no
male,0,no,no,64,yes,fiber optic,yes,no,no,one year,credit card (automatic),71.45,5289.05,no
male,1,yes,no,71,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,1756.2,no
female,0,yes,yes,65,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),71.45,6416.7,no
male,0,no,no,3,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,61.35,no
male,0,no,no,1,yes,dsl,no,no,no,month-to-month,electronic check,71.45,45.65,yes
male,0,no,yes,30,yes,dsl,no,no,yes,one year,credit card (automatic),71.45,1929.95,no
male,0,yes,yes,15,yes,dsl,no,yes,no,month-to-month,mailed check,71.45,1071.4,no
female,0,yes,yes,8,yes,dsl,no,yes,yes,month-to-month,electronic check,71.45,564.35,no
male,0,no,no,7,yes,fiber optic,no,no,yes,month-to-month,mailed check,71.45,655.5,yes
female,0,yes,yes,70,yes,fiber optic,yes,no,yes,one year,credit card (automatic),71.45,7930.55,no
male,0,yes,yes,62,yes,dsl,yes,yes,yes,two year,electronic check,71.45,5215.25,no
female,0,yes,yes,6,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,71.45,113.5,no
female,0,yes,yes,14,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,1152.8,no
female,0,no,no,22,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),71.45,1821.95,no
male,0,yes,yes,22,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,419.9,no
male,0,yes,yes,16,yes,dsl,yes,no,yes,two year,mailed check,71.45,1024.0,no
male,0,no,no,10,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),71.45,251.6,no
female,0,no,yes,13,yes,dsl,yes,no,no,month-to-month,electronic check,71.45,764.55,no
female,0,yes,no,20,yes,fiber optic,yes,no,no,month-to-month,electronic check,71.45,1592.35,yes
female,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,135.2,no
male,0,no,no,53,yes,dsl,no,yes,no,two year,bank transfer (automatic),71.45,3958.25,no
female,0,yes,yes,11,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,233.9,no
